K-Iteration,Neighbours,Components,Accuracy
0,3,5,0.6892857142857143
1,3,5,0.6842857142857143
2,3,5,0.685
0,5,5,0.7178571428571429
1,5,5,0.7121428571428572
2,5,5,0.6971428571428572
0,7,5,0.715
1,7,5,0.7178571428571429
2,7,5,0.6992857142857143
0,9,5,0.7257142857142858
1,9,5,0.7214285714285714
2,9,5,0.7207142857142858
0,11,5,0.7271428571428571
1,11,5,0.7264285714285714
2,11,5,0.715
0,13,5,0.735
1,13,5,0.7171428571428572
2,13,5,0.7221428571428572
0,15,5,0.7307142857142858
1,15,5,0.72
2,15,5,0.7164285714285714
0,25,5,0.7185714285714285
1,25,5,0.7257142857142858
2,25,5,0.7192857142857143
0,35,5,0.72
1,35,5,0.7192857142857143
2,35,5,0.7278571428571429
0,45,5,0.725
1,45,5,0.7235714285714285
2,45,5,0.7164285714285714
0,55,5,0.7171428571428572
1,55,5,0.7171428571428572
2,55,5,0.7157142857142857
0,65,5,0.7142857142857143
1,65,5,0.7157142857142857
2,65,5,0.7128571428571429
0,75,5,0.715
1,75,5,0.7128571428571429
2,75,5,0.7157142857142857
0,85,5,0.7078571428571429
1,85,5,0.6971428571428572
2,85,5,0.7064285714285714
0,95,5,0.7057142857142857
1,95,5,0.6985714285714286
2,95,5,0.7028571428571428
0,1,10,0.87
1,1,10,0.8628571428571429
2,1,10,0.855
0,3,10,0.875
1,3,10,0.87
2,3,10,0.8635714285714285
0,5,10,0.8771428571428571
1,5,10,0.8728571428571429
2,5,10,0.8678571428571429
0,7,10,0.8771428571428571
1,7,10,0.8707142857142857
2,7,10,0.875
0,9,10,0.875
1,9,10,0.8728571428571429
2,9,10,0.87
0,11,10,0.8742857142857143
1,11,10,0.8664285714285714
2,11,10,0.875
0,13,10,0.8671428571428571
1,13,10,0.8692857142857143
2,13,10,0.8714285714285714
0,15,10,0.8707142857142857
1,15,10,0.8642857142857143
2,15,10,0.8664285714285714
0,25,10,0.8578571428571429
1,25,10,0.8592857142857143
2,25,10,0.8678571428571429
0,35,10,0.8657142857142858
1,35,10,0.8471428571428572
2,35,10,0.8614285714285714
0,45,10,0.8485714285714285
1,45,10,0.8364285714285714
2,45,10,0.8514285714285714
0,55,10,0.8457142857142858
1,55,10,0.83
2,55,10,0.84
0,65,10,0.8414285714285714
1,65,10,0.8285714285714286
2,65,10,0.8364285714285714
0,75,10,0.8385714285714285
1,75,10,0.8185714285714286
2,75,10,0.83
0,85,10,0.8314285714285714
1,85,10,0.8207142857142857
2,85,10,0.8214285714285714
0,95,10,0.8264285714285714
1,95,10,0.8171428571428572
2,95,10,0.8164285714285714
0,1,20,0.9257142857142857
1,1,20,0.9178571428571428
2,1,20,0.9257142857142857
0,3,20,0.925
1,3,20,0.9214285714285714
2,3,20,0.9264285714285714
0,5,20,0.9264285714285714
1,5,20,0.9292857142857143
2,5,20,0.925
0,7,20,0.9214285714285714
1,7,20,0.9214285714285714
2,7,20,0.9185714285714286
0,9,20,0.9185714285714286
1,9,20,0.9221428571428572
2,9,20,0.9214285714285714
0,11,20,0.9178571428571428
1,11,20,0.9235714285714286
2,11,20,0.92
0,13,20,0.915
1,13,20,0.9157142857142857
2,13,20,0.9207142857142857
0,15,20,0.91
1,15,20,0.9107142857142857
2,15,20,0.9221428571428572
0,25,20,0.9078571428571428
1,25,20,0.895
2,25,20,0.9171428571428571
0,35,20,0.8935714285714286
1,35,20,0.8864285714285715
2,35,20,0.9092857142857143
0,45,20,0.8871428571428571
1,45,20,0.8807142857142857
2,45,20,0.8978571428571429
0,55,20,0.8785714285714286
1,55,20,0.8678571428571429
2,55,20,0.8907142857142857
0,65,20,0.8742857142857143
1,65,20,0.8671428571428571
2,65,20,0.8835714285714286
0,75,20,0.8714285714285714
1,75,20,0.8614285714285714
2,75,20,0.8771428571428571
0,85,20,0.8678571428571429
1,85,20,0.855
2,85,20,0.8757142857142857
0,95,20,0.8621428571428571
1,95,20,0.8528571428571429
2,95,20,0.8714285714285714
0,1,30,0.9257142857142857
1,1,30,0.9228571428571428
2,1,30,0.9335714285714286
0,3,30,0.93
1,3,30,0.9278571428571428
2,3,30,0.93
0,5,30,0.93
1,5,30,0.9221428571428572
2,5,30,0.9271428571428572
0,7,30,0.9235714285714286
1,7,30,0.9235714285714286
2,7,30,0.9314285714285714
0,9,30,0.925
1,9,30,0.9278571428571428
2,9,30,0.9321428571428572
0,11,30,0.9207142857142857
1,11,30,0.9207142857142857
2,11,30,0.9278571428571428
0,13,30,0.9192857142857143
1,13,30,0.9157142857142857
2,13,30,0.9257142857142857
0,15,30,0.92
1,15,30,0.9135714285714286
2,15,30,0.9257142857142857
0,25,30,0.9142857142857143
1,25,30,0.8985714285714286
2,25,30,0.915
0,35,30,0.9035714285714286
1,35,30,0.8857142857142857
2,35,30,0.9035714285714286
0,45,30,0.8971428571428571
1,45,30,0.875
2,45,30,0.9028571428571428
0,55,30,0.8892857142857142
1,55,30,0.8678571428571429
2,55,30,0.8971428571428571
0,65,30,0.88
1,65,30,0.865
2,65,30,0.8871428571428571
0,75,30,0.8771428571428571
1,75,30,0.8571428571428571
2,75,30,0.875
0,85,30,0.8671428571428571
1,85,30,0.8528571428571429
2,85,30,0.8657142857142858
0,95,30,0.8614285714285714
1,95,30,0.8492857142857143
2,95,30,0.8607142857142858
0,1,40,0.9271428571428572
1,1,40,0.9207142857142857
2,1,40,0.9342857142857143
0,3,40,0.9278571428571428
1,3,40,0.92
2,3,40,0.935
0,5,40,0.9221428571428572
1,5,40,0.9178571428571428
2,5,40,0.9321428571428572
0,7,40,0.9228571428571428
1,7,40,0.9228571428571428
2,7,40,0.9307142857142857
0,9,40,0.9285714285714286
1,9,40,0.9221428571428572
2,9,40,0.9278571428571428
0,11,40,0.925
1,11,40,0.9121428571428571
2,11,40,0.9264285714285714
0,13,40,0.925
1,13,40,0.9107142857142857
2,13,40,0.9192857142857143
0,15,40,0.9221428571428572
1,15,40,0.9078571428571428
2,15,40,0.9221428571428572
0,25,40,0.9085714285714286
1,25,40,0.8985714285714286
2,25,40,0.9178571428571428
0,35,40,0.8992857142857142
1,35,40,0.8785714285714286
2,35,40,0.9057142857142857
0,45,40,0.89
1,45,40,0.8678571428571429
2,45,40,0.8957142857142857
0,55,40,0.8828571428571429
1,55,40,0.8621428571428571
2,55,40,0.8857142857142857
0,65,40,0.88
1,65,40,0.8528571428571429
2,65,40,0.8771428571428571
0,75,40,0.8771428571428571
1,75,40,0.8464285714285714
2,75,40,0.8657142857142858
0,85,40,0.865
1,85,40,0.8478571428571429
2,85,40,0.865
0,95,40,0.8607142857142858
1,95,40,0.8364285714285714
2,95,40,0.8521428571428571
0,1,50,0.9242857142857143
1,1,50,0.9271428571428572
2,1,50,0.9321428571428572
0,3,50,0.93
1,3,50,0.9157142857142857
2,3,50,0.9292857142857143
0,5,50,0.9228571428571428
1,5,50,0.9164285714285715
2,5,50,0.9307142857142857
0,7,50,0.92
1,7,50,0.92
2,7,50,0.9278571428571428
0,9,50,0.9257142857142857
1,9,50,0.9142857142857143
2,9,50,0.9285714285714286
0,11,50,0.9257142857142857
1,11,50,0.9078571428571428
2,11,50,0.9242857142857143
0,13,50,0.9214285714285714
1,13,50,0.9078571428571428
2,13,50,0.92
0,15,50,0.9185714285714286
1,15,50,0.9064285714285715
2,15,50,0.92
0,25,50,0.9014285714285715
1,25,50,0.8928571428571429
2,25,50,0.9085714285714286
0,35,50,0.895
1,35,50,0.88
2,35,50,0.8985714285714286
0,45,50,0.8871428571428571
1,45,50,0.8621428571428571
2,45,50,0.8935714285714286
0,55,50,0.8842857142857142
1,55,50,0.855
2,55,50,0.8842857142857142
0,65,50,0.875
1,65,50,0.8457142857142858
2,65,50,0.8707142857142857
0,75,50,0.87
1,75,50,0.8471428571428572
2,75,50,0.8621428571428571
0,85,50,0.8635714285714285
1,85,50,0.8421428571428572
2,85,50,0.8571428571428571
0,95,50,0.8592857142857143
1,95,50,0.8271428571428572
2,95,50,0.8507142857142858
0,1,70,0.9278571428571428
1,1,70,0.9221428571428572
2,1,70,0.9257142857142857
0,3,70,0.9235714285714286
1,3,70,0.92
2,3,70,0.9214285714285714
0,5,70,0.9178571428571428
1,5,70,0.9157142857142857
2,5,70,0.9228571428571428
0,7,70,0.9185714285714286
1,7,70,0.9114285714285715
2,7,70,0.9235714285714286
0,9,70,0.9164285714285715
1,9,70,0.9128571428571428
2,9,70,0.9235714285714286
0,11,70,0.9157142857142857
1,11,70,0.91
2,11,70,0.9207142857142857
0,13,70,0.9128571428571428
1,13,70,0.905
2,13,70,0.9214285714285714
0,15,70,0.9121428571428571
1,15,70,0.9007142857142857
2,15,70,0.9192857142857143
0,25,70,0.8985714285714286
1,25,70,0.8864285714285715
2,25,70,0.9078571428571428
0,35,70,0.8914285714285715
1,35,70,0.8757142857142857
2,35,70,0.8971428571428571
0,45,70,0.8857142857142857
1,45,70,0.8614285714285714
2,45,70,0.8835714285714286
0,55,70,0.8685714285714285
1,55,70,0.8457142857142858
2,55,70,0.8692857142857143
0,65,70,0.8635714285714285
1,65,70,0.8421428571428572
2,65,70,0.8635714285714285
0,75,70,0.8635714285714285
1,75,70,0.8321428571428572
2,75,70,0.8585714285714285
0,85,70,0.855
1,85,70,0.8214285714285714
2,85,70,0.8507142857142858
0,95,70,0.8414285714285714
1,95,70,0.8178571428571428
2,95,70,0.845
0,1,90,0.9235714285714286
1,1,90,0.925
2,1,90,0.9221428571428572
0,3,90,0.9228571428571428
1,3,90,0.915
2,3,90,0.9185714285714286
0,5,90,0.9157142857142857
1,5,90,0.9135714285714286
2,5,90,0.9257142857142857
0,7,90,0.9207142857142857
1,7,90,0.9092857142857143
2,7,90,0.9228571428571428
0,9,90,0.915
1,9,90,0.9085714285714286
2,9,90,0.9221428571428572
0,11,90,0.9142857142857143
1,11,90,0.9064285714285715
2,11,90,0.9164285714285715
0,13,90,0.9142857142857143
1,13,90,0.9021428571428571
2,13,90,0.9164285714285715
0,15,90,0.9092857142857143
1,15,90,0.8964285714285715
2,15,90,0.9107142857142857
0,25,90,0.8942857142857142
1,25,90,0.8842857142857142
2,25,90,0.9028571428571428
0,35,90,0.8821428571428571
1,35,90,0.8721428571428571
2,35,90,0.8957142857142857
0,45,90,0.8771428571428571
1,45,90,0.8578571428571429
2,45,90,0.8757142857142857
0,55,90,0.8714285714285714
1,55,90,0.8457142857142858
2,55,90,0.8614285714285714
0,65,90,0.8614285714285714
1,65,90,0.8307142857142857
2,65,90,0.8585714285714285
0,75,90,0.8521428571428571
1,75,90,0.825
2,75,90,0.8528571428571429
0,85,90,0.8457142857142858
1,85,90,0.81
2,85,90,0.8442857142857143
0,95,90,0.835
1,95,90,0.8092857142857143
2,95,90,0.8364285714285714
0,1,100,0.9235714285714286
1,1,100,0.9235714285714286
2,1,100,0.9214285714285714
0,3,100,0.9178571428571428
1,3,100,0.91
2,3,100,0.9171428571428571
0,5,100,0.9142857142857143
1,5,100,0.915
2,5,100,0.9271428571428572
0,7,100,0.9207142857142857
1,7,100,0.9057142857142857
2,7,100,0.92
0,9,100,0.915
1,9,100,0.9064285714285715
2,9,100,0.9207142857142857
0,11,100,0.9135714285714286
1,11,100,0.9057142857142857
2,11,100,0.9171428571428571
0,13,100,0.9142857142857143
1,13,100,0.8971428571428571
2,13,100,0.9107142857142857
0,15,100,0.9128571428571428
1,15,100,0.8992857142857142
2,15,100,0.9114285714285715
0,25,100,0.8957142857142857
1,25,100,0.8807142857142857
2,25,100,0.9014285714285715
0,35,100,0.8842857142857142
1,35,100,0.8707142857142857
2,35,100,0.8921428571428571
0,45,100,0.875
1,45,100,0.8535714285714285
2,45,100,0.8742857142857143
0,55,100,0.8692857142857143
1,55,100,0.8435714285714285
2,55,100,0.8592857142857143
0,65,100,0.86
1,65,100,0.8264285714285714
2,65,100,0.8564285714285714
0,75,100,0.8507142857142858
1,75,100,0.8221428571428572
2,75,100,0.8478571428571429
0,85,100,0.8421428571428572
1,85,100,0.8157142857142857
2,85,100,0.84
0,95,100,0.8364285714285714
1,95,100,0.8078571428571428
2,95,100,0.835
